MAINTENANCE_AGENCY_ID,MAPPING_ID,NAME,MAPPING_TYPE,CODE,ALGORITHM,MEMBER_MAPPING_ID,VARIABLE_MAPPING_ID
ECB,CSDB_IDIRCURRENCY_REDEMPTION,Mapping of Redemption currency for the template CSDBIDIRCURRENCYREDEMPTION,E,CSDB_IDIRCURRENCY_REDEMPTION,,CSDB_IDIRCURRENCY_REDEMPTION,CSDB_IDIRCURRENCY_REDEMPTION
ECB,CSDB_IDIRDEBTTYPE,Mapping of Debt type for the template CSDBIDIRDEBTTYPE,E,CSDB_IDIRDEBTTYPE,,CSDB_IDIRDEBTTYPE,CSDB_IDIRDEBTTYPE
ECB,CSDB_IDIRDEBTTYPE_N,Mapping of Primary Asset Classification 2 for the template CSDBIDIRDEBTTYPEN,E,CSDB_IDIRDEBTTYPE_N,,CSDB_IDIRDEBTTYPE_N,CSDB_IDIRDEBTTYPE_N
ECB,CSDB_IDIRORGANISATION_ISSUER,CSDB_IDIRORGANISATION_ISSUER,A,CSDB_IDIRORGANISATION_ISSUER,,,CSDB_IDIRORGANISATION_ISSUER
ECB,CSDB_IDIRQUOTECONVENTION,CSDB_IDIRQUOTECONVENTION,A,CSDB_IDIRQUOTECONVENTION,,,CSDB_IDIRQUOTECONVENTION
ECB,CSDB_IDIRREDEMPTIONFREQUENCY,Mapping of Redemption frequency for the template CSDBIDIRREDEMPTIONFREQUENCY,E,CSDB_IDIRREDEMPTIONFREQUENCY,,CSDB_IDIRREDEMPTIONFREQUENCY,CSDB_IDIRREDEMPTIONFREQUENCY
ECB,CSDB_IDIRREDEMPTIONTYPE,Mapping of Redemption type for the template CSDBIDIRREDEMPTIONTYPE,E,CSDB_IDIRREDEMPTIONTYPE,,CSDB_IDIRREDEMPTIONTYPE,CSDB_IDIRREDEMPTIONTYPE
ECB,CSDB_IDISSUEDATE,CSDB_IDISSUEDATE,A,CSDB_IDISSUEDATE,,,CSDB_IDISSUEDATE
ECB,CSDB_IDMATURITYDATE,CSDB_IDMATURITYDATE,A,CSDB_IDMATURITYDATE,,,CSDB_IDMATURITYDATE
ECB,CSDB_IDUDCOMPOUND,CSDB_IDUDCOMPOUND,A,CSDB_IDUDCOMPOUND,,,CSDB_IDUDCOMPOUND
